uid,target_id,dec,kepid,kepler_name,kepoi_name,koi_bin_oedp_sig,koi_comment,koi_count,koi_datalink_dvr,koi_datalink_dvs,koi_depth,koi_depth_err1,koi_depth_err2,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_msky,koi_dikco_msky_err,koi_disp_prov,koi_disposition,koi_dor,koi_dor_err1,koi_dor_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_fittype,koi_fpflag_co,koi_fpflag_ec,koi_fpflag_nt,koi_fpflag_ss,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_stat_sig,koi_gmag,koi_hmag,koi_imag,koi_impact,koi_impact_err1,koi_impact_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_jmag,koi_kepmag,koi_kmag,koi_ldm_coeff1,koi_ldm_coeff2,koi_ldm_coeff3,koi_ldm_coeff4,koi_limbdark_mod,koi_longp,koi_longp_err1,koi_longp_err2,koi_max_mult_ev,koi_max_sngle_ev,koi_model_chisq,koi_model_dof,koi_model_snr,koi_num_transits,koi_parm_prov,koi_pdisposition,koi_period,koi_period_err1,koi_period_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_quarters,koi_rmag,koi_ror,koi_ror_err1,koi_ror_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_score,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_sparprov,koi_srad,koi_srad_err1,koi_srad_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_tce_delivname,koi_tce_plnt_num,koi_teq,koi_teq_err1,koi_teq_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_trans_mod,koi_vet_date,koi_vet_stat,koi_zmag,ra
kplr008554498-01,8554498,44.647419,8554498,,K00005.01,,,2,008/008554/008554498/dv/kplr008554498-20160209194854_dvr.pdf,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,12.085,10.257,11.485,,,,,,,,,,,,,10.542,11.665,10.213,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,4.780327581,8.52e-07,-8.52e-07,,,,,11.601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,2454965.974,0.000148,-0.000148,132.974086,0.000148,-0.000148,,2018-08-16,Done,11.458,289.73972
kplr007051180-01,7051180,42.54744,7051180,,K00064.01,,,1,007/007051/007051180/dv/kplr007051180-20160209194854_dvr.pdf,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,13.791,11.324,12.866,,,,,,,,,,,,,11.759,13.143,11.23,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,1.951082219,3.888e-06,-3.888e-06,,,,,13.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,2454990.543,0.00159,-0.00159,157.54316,0.00159,-0.00159,,2018-08-16,Done,12.738,296.51059
kplr007199397-01,7199397,42.728481,7199397,,K00075.01,,,1,007/007199/007199397/dv/kplr007199397-20160209194854_dvr.pdf,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,11.144,9.443,10.617,,,,,,,,,,,,,9.692,10.775,9.387,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,105.8817667,0.0001312,-0.0001312,,,,,10.722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,2454989.979,0.00101,-0.00101,156.97935,0.00101,-0.00101,,2018-08-16,Done,10.574,291.49722
kplr009955262-01,9955262,46.82214,9955262,,K00076.01,,,1,009/009955/009955262/dv/kplr009955262-20160209194854_dvr.pdf,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,10.338,9.161,10.046,,,,,,,,,,,,,9.343,10.143,9.115,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,77.4794704,0.0002456,-0.0002456,,,,,10.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,2454987.707,0.0023,-0.0023,154.70734,0.0023,-0.0023,,2018-08-16,Done,10.079,293.54199
kplr009552608-01,9552608,46.10434,9552608,,K00080.01,,,1,009/009552/009552608/dv/kplr009552608-20160209194854_dvr.pdf,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,11.366,10.594,11.377,,,,,,,,,,,,,10.698,11.31,10.586,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,9.250572762,2.897e-06,-2.897e-06,,,,,11.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,2454968.408,0.000259,-0.000259,135.407531,0.000259,-0.000259,,2018-08-16,Done,11.36,300.53757
kplr008505215-01,8505215,44.53112,8505215,,K00099.01,,,2,008/008505/008505215/dv/kplr008505215-20160209194854_dvr.pdf,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,13.613,11.083,12.68,,,,,,,,,,,,,11.503,12.96,10.977,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,2190.7010353,,,,,,,12.901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,2454973.048,0.00186,-0.00186,140.04806,0.00186,-0.00186,,2018-08-16,Done,12.539,295.43433
kplr004055765-01,4055765,39.19949,4055765,,K00100.01,,,1,004/004055/004055765/dv/kplr004055765-20160209194854_dvr.pdf,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,12.907,11.407,12.466,,,,,,,,,,,,,11.613,12.598,11.366,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,9.9664004,1.22e-05,-1.22e-05,,,,,12.566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,2454974.153,0.00101,-0.00101,141.15324,0.00101,-0.00101,,2018-08-16,Done,12.409,291.17792
kplr009579641-03,9579641,46.276241,9579641,,K00115.03,,,3,009/009579/009579641/dv/kplr009579641-20160209194854_dvr.pdf,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,13.111,11.555,12.654,,,,,,,,,,,,,11.811,12.791,11.503,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,3.43591631,4.729e-05,-4.729e-05,,,,,12.732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,2454965.662,0.011,-0.011,132.6624,0.011,-0.011,,2018-08-16,Done,12.648,287.88733
kplr005897826-02,5897826,41.114288,5897826,,K00126.02,,,2,005/005897/005897826/dv/kplr005897826-20160209194854_dvr.pdf,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,13.585,11.656,12.905,,,,,,,,,,,,,11.977,13.109,11.635,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,0.875197345,,,,,,,13.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,2454964.814,,,131.8135915,,,,2018-08-16,Done,12.846,297.47586
kplr011974540-02,11974540,50.372318,11974540,,K00129.02,,,2,011/011974/011974540/dv/kplr011974540-20160209194854_dvr.pdf,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,13.484,12.042,13.113,,,,,,,,,,,,,12.269,13.224,12.034,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,143.21109362,,,,,,,13.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,2455054.756,,,221.7556468,,,,2018-08-16,Done,13.089,297.00943
